project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
uniswap,Uniswap,UNI,DEX,2025-03-25,Halving,Uniswap mining reward halving event,high,negative,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-25,Protocol Update,Uniswap protocol update to version 3.1.5,medium,negative,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-03-25,Mainnet Launch,Ripple Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-25,Token Burn,Scheduled Ethereum token burn event,medium,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-03-25,Airdrop,Solana token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-26,Conference,Ethereum annual developer conference in Seoul,medium,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-26,Partnership,Uniswap announces strategic partnership,medium,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-26,Airdrop,Avalanche token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-26,Halving,Bitcoin mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-03-27,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-03-27,Partnership,Cardano announces strategic partnership,medium,neutral,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-27,Token Burn,Scheduled Avalanche token burn event,medium,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-03-27,Halving,Cardano mining reward halving event,high,negative,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-03-28,Token Burn,Scheduled Avalanche token burn event,medium,negative,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-03-28,AMA Session,Ask Me Anything session with Dogecoin core team,low,neutral,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-28,AMA Session,Ask Me Anything session with Uniswap core team,low,neutral,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-03-29,Hard Fork,Solana network upgrade to improve consensus mechanism,high,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,AMA Session,Ask Me Anything session with Bitcoin core team,low,positive,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-03-29,Protocol Update,Polkadot protocol update to version 2.4.6,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-03-29,Whitepaper Release,Bitcoin whitepaper 2.0 release,medium,neutral,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-03-31,Testnet Launch,Cardano Testnet launch for new features,medium,positive,CryptoText Analytics (Mock Data)
chainlink,Chainlink,LINK,Oracle,2025-03-31,Whitepaper Release,Chainlink whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
chainlink,Chainlink,LINK,Oracle,2025-03-31,Hard Fork,Chainlink network upgrade to improve token economics,high,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-03-31,Halving,Uniswap mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-01,Airdrop,Dogecoin token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-04-01,Hard Fork,Solana network upgrade to improve user experience,high,positive,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-04-02,AMA Session,Ask Me Anything session with Solana core team,low,neutral,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-03,Whitepaper Release,Ethereum whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-03,AMA Session,Ask Me Anything session with Ripple core team,low,neutral,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-03,AMA Session,Ask Me Anything session with Dogecoin core team,low,neutral,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-04,Conference,Ripple annual developer conference in Tokyo,medium,positive,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-05,Protocol Update,Ethereum protocol update to version 2.9.3,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-05,Hard Fork,Bitcoin network upgrade to improve interoperability,high,positive,CryptoText Analytics (Mock Data)
dogecoin,Dogecoin,DOGE,Meme Coin,2025-04-07,Hard Fork,Dogecoin network upgrade to improve user experience,high,positive,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-07,AMA Session,Ask Me Anything session with Ripple core team,low,negative,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-07,Hard Fork,Avalanche network upgrade to improve governance,high,positive,CryptoText Analytics (Mock Data)
polkadot,Polkadot,DOT,Interoperability,2025-04-08,Airdrop,Polkadot token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-08,Whitepaper Release,Uniswap whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
uniswap,Uniswap,UNI,DEX,2025-04-09,Whitepaper Release,Uniswap whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-04-09,Halving,Cardano mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-09,Token Burn,Scheduled Avalanche token burn event,medium,negative,CryptoText Analytics (Mock Data)
ripple,Ripple,XRP,Payment,2025-04-09,Testnet Launch,Ripple Testnet launch for new features,medium,neutral,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-10,Hard Fork,Avalanche network upgrade to improve privacy,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-10,Testnet Launch,Avalanche Testnet launch for new features,medium,negative,CryptoText Analytics (Mock Data)
solana,Solana,SOL,Layer 1,2025-04-10,AMA Session,Ask Me Anything session with Solana core team,low,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-11,Halving,Bitcoin mining reward halving event,high,positive,CryptoText Analytics (Mock Data)
avalanche,Avalanche,AVAX,Layer 1,2025-04-11,AMA Session,Ask Me Anything session with Avalanche core team,low,negative,CryptoText Analytics (Mock Data)
ethereum,Ethereum,ETH,Layer 1,2025-04-12,Mainnet Launch,Ethereum Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
cardano,Cardano,ADA,Layer 1,2025-04-12,AMA Session,Ask Me Anything session with Cardano core team,low,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-13,Protocol Update,Bitcoin protocol update to version 4.6.1,medium,positive,CryptoText Analytics (Mock Data)
