project_id,project_name,symbol,category,date,event_type,description,importance,potential_impact,source
bitcoin,Bitcoin,BTC,Layer 1,2025-04-01,Protocol Update,Bitcoin protocol update to version 2.1.5,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-01,Partnership,Bitcoin announces strategic partnership,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-02,Airdrop,Bitcoin token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-04,Airdrop,Bitcoin token airdrop to community members,medium,neutral,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-07,Protocol Update,Bitcoin protocol update to version 3.1.3,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-08,Protocol Update,Bitcoin protocol update to version 4.1.9,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-09,Whitepaper Release,Bitcoin whitepaper 2.0 release,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-11,Mainnet Launch,Bitcoin Mainnet launch after successful testnet phase,high,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-11,Listing,Bitcoin listing on major exchange,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-14,Airdrop,Bitcoin token airdrop to community members,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-14,Hard Fork,Bitcoin network upgrade to improve consensus mechanism,high,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-17,Listing,Bitcoin listing on major exchange,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-25,Token Burn,Scheduled Bitcoin token burn event,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-25,Conference,Bitcoin annual developer conference in Miami,medium,positive,CryptoText Analytics (Mock Data)
bitcoin,Bitcoin,BTC,Layer 1,2025-04-27,Conference,Bitcoin annual developer conference in San Francisco,medium,positive,CryptoText Analytics (Mock Data)
